price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
14990,2014.0,chrysler 300,excellent,6.0,gas,57954.0,automatic,sedan,black,1.0,2018-06-20,15
15990,2013.0,honda pilot,excellent,6.0,gas,109473.0,automatic,SUV,black,1.0,2019-01-07,68
19500,2011.0,chevrolet silverado 1500,excellent,8.0,gas,128413.0,automatic,pickup,black,1.0,2018-09-17,38
12990,2009.0,gmc yukon,excellent,8.0,gas,132285.0,automatic,SUV,black,1.0,2019-01-31,24
14990,2010.0,ram 1500,excellent,8.0,gas,130725.0,automatic,pickup,red,1.0,2018-12-30,13
13990,2014.0,jeep cherokee,excellent,6.0,gas,100669.0,automatic,SUV,red,1.0,2018-08-16,25
12500,2013.0,chevrolet traverse,excellent,6.0,gas,128325.0,automatic,SUV,white,1.0,2019-04-09,13
7500,2004.0,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,red,1.0,2019-01-05,64
5000,2009.0,jeep liberty,good,6.0,gas,137273.0,automatic,SUV,white,1.0,2019-02-19,14
3890,2011.0,subaru outback,excellent,4.0,gas,300000.0,automatic,SUV,white,1.0,2018-12-25,31
8000,2009.0,ford f-150,good,8.0,gas,234000.0,automatic,truck,black,1.0,2019-03-31,1
11499,2017.0,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,1.0,2019-01-12,36
5100,2008.0,honda cr-v,excellent,4.0,gas,188000.0,automatic,SUV,red,1.0,2018-11-18,10
11200,2015.0,dodge charger,excellent,6.0,gas,90302.0,automatic,sedan,black,1.0,2018-07-19,73
10400,2012.0,chevrolet colorado,excellent,5.0,gas,111871.0,automatic,truck,red,1.0,2019-01-30,27
30300,2017.0,ford f150 supercrew cab xlt,good,6.0,gas,30339.0,automatic,pickup,brown,1.0,2018-07-15,14
13000,2005.0,ram 1500,good,8.0,gas,146000.0,automatic,truck,grey,1.0,2019-03-14,26
16999,2013.0,chevrolet silverado 1500,good,8.0,gas,137230.0,automatic,truck,white,1.0,2018-05-29,24
14950,2012.0,ram 1500,excellent,8.0,gas,114773.0,automatic,truck,grey,1.0,2019-04-09,85
1900,1994.0,jeep grand cherokee laredo,good,6.0,gas,207.0,automatic,SUV,grey,1.0,2018-07-27,9
23800,2019.0,nissan frontier crew cab sv,good,6.0,gas,10899.0,other,pickup,silver,1.0,2019-02-28,30
16500,2012.0,ford f-250 sd,good,8.0,gas,123262.0,automatic,truck,silver,1.0,2018-09-25,47
11950,2008.0,chevrolet silverado,good,8.0,gas,170000.0,automatic,truck,black,1.0,2019-03-13,38
4826,2000.0,gmc yukon,like new,8.0,gas,226111.0,automatic,SUV,grey,1.0,2018-06-30,14
18000,2010.0,ram 1500,good,8.0,gas,50500.0,automatic,truck,white,1.0,2018-06-16,11
8995,2012.0,toyota rav4,excellent,4.0,gas,124526.0,automatic,SUV,black,1.0,2018-12-14,24
3995,2008.0,subaru forester,excellent,4.0,gas,165000.0,automatic,SUV,white,1.0,2018-12-24,19
26000,2015.0,chevrolet silverado 1500 crew,good,8.0,gas,92281.0,automatic,pickup,white,1.0,2019-04-02,82
5500,2004.0,ford explorer,good,6.0,gas,140355.0,automatic,SUV,white,1.0,2018-09-10,35
22900,2014.0,ford f150 supercrew cab xlt,good,6.0,gas,73711.0,automatic,pickup,white,1.0,2019-02-27,141
26700,2015.0,ford f150 supercrew cab xlt,good,6.0,gas,48278.0,other,pickup,brown,1.0,2018-09-22,64
22800,2013.0,ford f-350 sd,good,8.0,diesel,207738.0,automatic,truck,brown,1.0,2018-11-08,62
24600,2014.0,chevrolet silverado 1500 crew,good,6.0,gas,85048.0,automatic,pickup,silver,1.0,2018-08-19,96
33900,2018.0,chevrolet silverado 1500 crew,good,8.0,gas,11315.0,other,pickup,white,1.0,2019-03-01,2
21595,2015.0,chevrolet silverado 1500,excellent,8.0,gas,92634.0,automatic,truck,black,1.0,2018-11-15,53
